id,age,level,height,weight,waist,hip,income,bmi
1,53,3,168,71,92,99,5,25
2,44,1,153,58,87,97,2,25
3,47,1,169,60,81,91,2,21
4,43,1,159,67,99,100,2,27
5,61,3,159,63,81,92,1,25
6,62,1,149,57,89,99,1,26
7,41,3,154,64,88,95,3,27
8,64,1,160,55,87,89,1,21
9,65,2,152,66,89,96,2,29
10,57,2,157,57,84,93,1,23
11,66,5,167,59,74,90,2,21
12,64,2,152,60,99,92,2,26
13,65,1,166,58,81,90,1,21
14,64,1,158,56,82,92,1,22
15,60,1,143,47,81,87,1,23
16,45,5,163,73,84,95,4,27
17,45,3,154,56,81,91,4,24
18,65,2,171,49,75,85,7,17
19,67,1,157,57,88,95,2,23
20,53,3,170,65,85,94,2,23
21,47,1,159,59,84,94,2,23
22,66,3,160,52,74,84,1,20
23,66,1,144,40,75,86,1,20
24,46,1,159,63,85,93,2,25
25,48,3,170,63,79,91,3,22
26,46,1,153,72,96,104,1,31
27,41,2,156,62,82,95,2,26
28,58,1,150,61,88,96,2,27
29,50,2,168,70,85,97,3,25
30,69,1,172,69,92,94,2,23
31,69,1,159,57,86,90,1,22
32,63,1,144,50,84,87,1,24
33,40,3,173,57,82,86,2,19
34,62,1,143,49,97,106,1,24
35,43,4,174,66,68,82,2,17
36,62,3,159,48,77,88,1,19
37,56,1,163,68,89,99,1,26
38,63,5,164,53,77,86,2,20
39,43,3,158,58,80,92,5,23
40,42,3,158,55,71,80,5,22
41,49,3,169,78,90,96,2,27
42,47,2,166,56,76,93,2,20
43,48,5,167,53,75,89,1,19
44,47,3,155,60,83,95,1,25
45,61,2,163,66,88,92,1,25
46,61,2,148,58,85,91,1,26
47,49,6,163,58,78,93,2,22
48,65,1,152,48,96,82,3,21
49,60,1,158,47,67,82,2,19
50,59,1,153,51,76,89,1,22
51,62,1,155,56,88,92,3,23
52,45,2,170,65,85,95,1,22
53,59,1,162,60,82,90,5,23
54,55,1,150,64,93,100,1,29
55,63,1,158,53,91,94,1,21
56,51,1,164,53,72,81,3,20
57,43,1,155,53,77,88,3,22
58,64,2,163,58,79,90,3,22
59,53,2,167,57,79,91,3,21
60,52,2,160,69,96,99,2,27
61,49,2,173,66,83,90,2,22
62,43,2,162,69,96,103,2,26
63,47,1,172,62,81,94,3,21
64,63,2,160,58,82,88,2,23
65,59,1,141,55,92,92,2,27
66,62,2,167,59,80,92,1,21
67,42,3,175,90,102,112,2,29
68,64,1,147,42,71,81,2,19
69,62,1,152,61,85,97,2,26
70,65,1,154,49,77,86,1,21
71,62,5,173,86,101,103,1,29
72,59,3,150,51,85,92,2,23
73,60,1,148,41,75,84,1,19
74,64,3,166,75,102,98,4,27
75,59,1,152,65,101,100,2,28
76,67,1,166,72,92,95,1,26
77,61,1,152,55,83,92,1,24
78,41,3,169,75,87,94,5,26
79,63,1,149,54,87,91,3,24
80,60,3,155,51,85,94,3,21
81,61,1,154,44,76,83,1,18
82,64,1,156,54,84,92,1,22
83,58,3,163,63,85,93,3,24
84,58,1,158,62,93,90,3,25
85,54,2,166,84,97,100,1,30
86,68,2,167,46,70,83,1,16
87,64,1,156,37,65,78,1,15
88,60,3,158,53,77,86,4,21
89,60,1,165,53,72,85,3,20
90,68,4,160,67,82,92,1,26
91,52,1,154,66,96,97,7,28
92,59,1,150,66,102,105,1,30
93,49,3,171,76,93,99,4,26
94,48,2,151,54,77,91,5,24
95,59,3,169,71,89,98,3,25
96,57,2,147,51,79,90,3,24
97,49,3,169,76,93,99,2,26
98,45,3,158,69,91,94,2,28
99,67,1,150,54,98,92,1,24
100,63,1,162,77,99,108,3,29
101,43,5,173,77,93,99,6,26
102,62,2,158,64,89,95,1,26
103,60,2,164,77,98,96,1,29
104,64,1,150,65,103,101,1,28
105,48,1,158,65,87,93,1,26
106,65,1,161,48,73,82,4,19
107,59,1,145,68,98,100,2,32
108,62,1,158,55,76,89,1,22
109,51,1,151,62,82,94,1,27
110,69,1,152,73,107,109,1,32
111,53,1,162,65,87,90,2,25
112,48,1,147,65,100,100,2,30
113,46,1,171,65,84,92,1,22
114,60,1,164,73,95,99,3,27
115,43,1,150,56,80,88,2,25
116,58,5,163,53,71,86,3,20
117,65,1,165,73,96,98,1,27
118,63,1,147,55,96,92,1,26
119,66,1,152,63,93,100,2,27
120,53,3,174,69,87,95,3,23
121,46,1,160,55,76,89,2,22
122,55,1,160,69,94,96,2,27
123,69,2,144,49,83,91,2,23
124,65,1,149,55,91,94,3,25
125,68,2,147,42,75,84,1,19
126,60,1,151,51,82,91,1,23
127,62,2,163,64,86,94,3,24
128,56,1,150,59,93,96,1,26
129,56,4,162,61,85,95,5,23
130,53,1,154,58,85,94,5,24
131,56,1,143,38,72,80,1,19
132,51,2,164,70,88,98,2,26
133,50,1,158,59,88,96,2,24
134,63,1,160,62,90,96,1,24
135,55,1,157,57,84,91,1,23
136,63,1,167,57,71,88,2,20
137,58,3,149,51,91,90,2,23
138,45,3,152,53,76,87,5,23
139,41,2,155,75,92,107,5,31
140,61,1,157,58,84,95,1,24
141,67,1,164,50,67,87,1,19
142,58,1,156,53,86,91,1,22
143,62,2,161,63,84,95,3,24
